survey_no,year,date,name,new_old,surv_name,E,N,Elev,,,
1,2015,2015-09-01,,,NORDK,451573.862,5698496.076,2111.625,,,
1,2015,2015-09-01,NST20,new,NORDK20,451360.607,5698363.268,2182.481,,,
1,2015,2015-09-01,,,NORDKMOU,451025.845,5698017.563,2313.023,,,
1,2015,2015-09-01,,,NORDK50J,450152.088,5697932.311,2474.478,,,
1,2015,2015-09-01,NST50,new,NORDK50J2,450147.509,5697931.165,2474.379,,,
1,2015,2015-09-01,,,NORDK60,449894.571,5697627.742,2604.134,,,
1,2015,2015-09-01,NST60,new,NORDK60B,449894.428,5697628.272,2603.836,,,
1,2015,2015-09-01,,,NORDK65,449795.278,5697527.704,2648.221,,,
1,2015,2015-09-01,NST65,new,NORDK65B,449796.313,5697528.518,2647.279,,,
1,2015,2015-09-01,,,NORDB,451194.829,5699920.226,2014.203,,,
2,2016,2016-08-21,,,NORDS2,451178.84,5699921.336,2022.606,,,
2,2016,2016-08-21,,,NORDS1,451178.84,5699921.336,2022.606,,,
2,2016,2016-08-21,NST20,new,NST20N,451360.439,5698364.303,2184.179,,,
2,2016,2016-08-21,NST20,old,NST20L,451370.905,5698378.615,2180.056,,,
2,2016,2016-08-21,NST30,old,NST30L0,451116.529,5698108.503,2282.576,,,
2,2016,2016-08-21,NST30,new,NST30N,451076.461,5698040.949,2307.674,,,
2,2016,2016-08-21,NST10,new,NST10N,451350.546,5698576.208,2121.268,,,
2,2016,2016-08-21,NST10,old,NST10L,451352.7,5698590.444,2114.387,,,
2,2016,2016-08-21,,,NCP1a,451175.823,5699919.904,2022.358,,,
2,2016,2016-08-21,,,NCP2a,451174.483,5699925.53,2022.543,,,
2,2016,2016-08-21,,,NORDKIN,451679.94,5698547.075,2090.682,,,
2,2016,2016-08-21,,,NCP2,451174.497,5699925.495,2022.554,,,
2,2016,2016-08-21,NSTA,new,NSTA,451799.749,5698315.625,2147.293,,,
2,2016,2016-08-21,,,NCP1,451175.79,5699919.919,2022.326,,,
3,2017,2017-09-15,,,NTEST3,451157.171,5699929.49,2035.259,,,
3,2017,2017-09-15,NST20,old,NST20,451362.716,5698273.706,2155.166,error,,
3,2017,2017-09-13,NST20,old,NST20,451363.716,5698274.706,2192.87,,451342.001,5698359.001
3,2017,2017-09-15,NST50,both,NST50,450154.851,5697938.167,2470.124,,,
3,2017,2017-09-15,NST60,new,NST60N,449892.669,5697622.807,2629.378,,,
3,2017,2017-09-15,NST70,new,NST70N,449729.577,5697359.864,2694.267,,,
3,2017,2017-09-15,NST40,old,NST40L,450652.298,5697869.590,2547.33,,,
3,2017,2017-09-15,NST40,new,NST40N,450586.822,5697892.098,2510.73,,,
3,2017,2017-09-15,NST30,old,NST30L17,451146.235,5698061.786,2421.208,,,
3,2017,2017-09-15,NST30,new,NST30N,451122.101,5698016.475,2279.641,,,
3,2017,2017-09-15,NST30,older,NST30L,451130.343,5698081.064,2227.489,,,
3,2017,2017-09-15,NST20,new,NST20N,451358.496,5698347.980,2143.733,,,
3,2017,2017-09-15,,old,NSTA,451664.116,5698245.896,2538.434,error,,
3,2017,2017-09-15,,new,NSTAN,451719.446,5698250.518,2394.259,error,,
3,2017,2017-09-13,NSTA,new,NSTA,451720.446,5698251.518,2152.9,??,451758.001,5698310.001
3,2017,2017-09-15,NST10,new,NST10N,451400.998,5698574.313,2136.224,,,
3,2017,2017-09-13,NSTB,new,NSTB,451401.998,5698575.313,2277.84,,452034.001,5698084.001
3,2017,2017-09-15,,,NTEST1,451156.504,5699918.283,2028.639,,,
3,2017,2017-09-15,,,NTEST2BASE,451160.596,5699931.133,2020.693,,,
4,2018,2018-08-31,,,NBASE18D,451608.402,5698685.822,2085.999,,,
4,2018,2018-08-31,,,NBASE18A,451608.402,5698685.822,2085.999,,,
4,2018,2018-08-31,,,NBASE18B,451608.402,5698685.822,2085.999,,,
4,2018,2018-08-31,NST50,old,NST50,450168.796,5697935.544,2483.938,,,
4,2018,2018-08-31,NST40,old,NST40,450586.982,5697897.077,2433.028,,,
4,2018,2018-08-31,NST20,old,NST20,451369.273,5698370.487,2179.112,,,
4,2018,2018-08-31,NST10,old,NST10,451416.354,5698574.727,2100.576,,,
4,2018,2018-08-31,NSTA,old,NSTA,451783.963,5698307.235,2139.496,,,
4,2018,2018-08-31,,,NKIN18HIGH,450101.267,5697706.25,2563.593,,,
4,2018,2018-08-31,NST70,old,NST70,449733.991,5697373.741,2692.691,,,
4,2018,2018-08-31,NST60,old,NST60,449896.339,5697614.292,2608.206,,,
4,2018,2018-08-31,NSTB,old,NSTB,452041.483,5698103.115,2263.349,,,
4,2018,2018-08-31,,,NKINEAST,451648.31,5698560.119,2084.634,,,
